Title;Course_code;Credits;Period;Course_Level;Faculty;Course_Coordinator;Examiner;Teaching_Staff;Target_Audiences;Entry_Requirements;Course_Content;URL;;;;;;;;;
GIS and Earth Observation;AB_1271;6 EC;P4;200;Dutch;Faculty of Science;dr. ir. J. van Vliet;dr. ir. J. van Vliet;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;De cursus bevat de volgende elementen:;https://studiegids.vu.nl/en/courses/2024-2025/AB_1271;;;;;;;;;
Global Biogeochemical Cycles;AM_450332;6 EC;P4;400;English;Faculty of Science;W. Heffernan;W. Heffernan;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/AM_450332;;;;;;;;;
Global Buddhism in the Netherlands;G_RMBOTM2;6 EC;P1;400;English;Faculty of Religion and Theology;dr. J. Reinke;dr. J. Reinke;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;What are we referring to when we discuss global Buddhism? What is Dutch Buddhism? How are these terms connected to specific discourses on modernity? This course addresses the immense diversity of Buddhist traditions worldwide by examining the dynamics and transformations that have contributed to its global dissemination.;https://studiegids.vu.nl/en/courses/2024-2025/G_RMBOTM2;;;;;;;;;
Global Change;AB_1062;6 EC;P3;100;Dutch;Faculty of Science;prof. dr. ir. S. Houweling;prof. dr. ir. S. Houweling;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;De cursus begint met een inleidend college over wat er onder Global Change verstaan wordt, en waarom we veranderingen op tijdschalen van geologisch tot dagelijks moeten bestuderen om een beter begrip van ons klimaatsysteem te krijgen en om toekomstige projecties te kunnen maken. Je leert over de grootschalige atmosferische circulatie en het broeikaseffect, en over de algemene processen die ons weer en klimaat bepalen. We gaan uitvoerig in op de rol van de oceanen in het klimaatsysteem, en hoe astronomische factoren o.a. de ijstijden hebben gecreëerd. Daarnaast leer je op wat voor manieren de mens het klimaat beïnvloedt, en wat dit voor ons toekomstig klimaat kan betekenen. Hierbij wordt uitgebreid stilgestaan bij de mogelijke gevolgen van klimaatverandering en leer je welke mogelijke manieren er zijn om hiermee om te gaan (adaptatie) en deze te beperken (mitigatie). Na 10 colleges gaan de studenten Aardwetenschappen verder met het herkennen van fossielen (zowel tijdens hoorcolleges als tijdens practica) en leren ze die kennis te gebruiken om de veranderingen in de leefomgeving van die fossielen beter te begrijpen. De studenten Aarde, Economie en Duurzaamheid zullen het eerste college over fossielen bijwonen maar gaan in de laatste 4 colleges dieper in op de economische en aardwetenschappelijke aspecten van adaptatie en mitigatie.;https://studiegids.vu.nl/en/courses/2024-2025/AB_1062;;;;;;;;;
Global Development and Prosperity;AB_1275;6 EC;P2;300;English;Faculty of Science;dr. M. Schaafsma;dr. M. Schaafsma;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;Students do not require a specific disciplinary background, but affinity with the natural environment and social-economic development is desirable.;Over the last centuries, humankind has seen tremendous improvements in health, education and income, but at the same time this drive for economic growth and consumerist lifestyles has caused serious and sometimes irreparable damages to global biodiversity, climate systems and habitats, as well as major socio-economic inequalities and injustices.;https://studiegids.vu.nl/en/courses/2024-2025/AB_1275;;;;;;;;;
Global Ecology and Biodiversity;AMU_0027;6 EC;P2;500;English;Faculty of Science;dr. S.F. Bokhorst;;;NA;-https://studiegids.uva.nl/xmlpages/page/2024-2025-en/search-course/course/119419;https://studiegids.vu.nl/en/courses/2024-2025/AMU_0027;;;;;;;;;
Global English;L_ETBAETK209;6 EC;P1;200;English;Faculty of Humanities;dr. L.M. Rupp;dr. L.M. Rupp;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;In the lectures, we will examine the spread of the English;https://studiegids.vu.nl/en/courses/2024-2025/L_ETBAETK209;;;;;;;;;
Global Governance and International Relations;W_JSM_205;6 EC;P2;200;English;Faculty of Humanities;dr. J. Hogan;dr. J. Hogan;;NA;Building on 'Political Science: State, Power and Conflict' from year 1,;https://studiegids.vu.nl/en/courses/2024-2025/W_JSM_205;;;;;;;;;
Global Health Interventions;AM_1176;6 EC;P1;500;English;Faculty of Science;prof. dr. T. Zuiderent-Jerak;prof. dr. T. Zuiderent-Jerak;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;In this course, attention is paid to the relationship between the analysis of complex health problems (needs assessment) and the design, implementation and evaluation of interventions’ strategies for specific health problems. The advantages and disadvantages of various approaches to designing and evaluating global health interventions will be discussed.;https://studiegids.vu.nl/en/courses/2024-2025/AM_1176;;;;;;;;;
Global Health Master Thesis;AM_1116;30 EC;P4+5+6;600;English;Faculty of Science;dr. M.M. Waltz;prof. dr. T. Zuiderent-Jerak;;Students need to have passed the exams of 24 EC of the compulsory courses of year 1 and the courses Addressing the Disease Burden in a Global Context and Advanced Methodology ILA in Global Health of year 2 (12 EC) before they can start the Global Health Master thesis.;In this second research internship of the MSc Global Health (Research), a concrete transdisciplinary health problem is formulated, based on descriptive and analytical questions at different levels of aggregation (individual, group, society, system). The complexity of the health problem, combined with the use of transdisciplinary research methods, makes this internship more multifaceted as compared to the first research internship.;https://studiegids.vu.nl/en/courses/2024-2025/AM_1116;;;;;;;;;
Global Historical Archaeology;L_AAMAARC036;6 EC;P4;400;English;Faculty of Humanities;prof. dr. J. Symonds;;Extra curricular course for VU students;NA;This is an UvA course. Please follow the link for the course description: Vak | UvA Studiegids 2024 - 2025;https://studiegids.vu.nl/en/courses/2024-2025/L_AAMAARC036;;;;;;;;;
Global History Tutorial 1;L_AAMPHUG001;6 EC;P1+2+3;500;English;Faculty of Humanities;prof. dr. P.J.E.M. van Dam;prof. dr. P.H. van Dam;Extra curricular course for VU students, Secondary subject for non-VU students;NA;This is a very free and individual type of course. Students can choose from tutorials that are on offer as listed in the course guide (provided by the coordinator) or they can come up with a subject of their own choice and contact a lecturer if he/she is willing to tutor the student. Usually students do a tutorial in a field and specialism in the first year of the RMA, related to the topic of their RMA-thesis in the second year.;https://studiegids.vu.nl/en/courses/2024-2025/L_AAMPHUG001;;;;;;;;;
Global History Tutorial 2;L_AAMPHUG002;6 EC;P4+5+6;500;English;Faculty of Humanities;prof. dr. P.J.E.M. van Dam;;Extra curricular course for VU students, Secondary subject for non-VU students;NA;This is a very free and individual type of course. Students can choose from tutorials that are on offer as listed in the course guide (provided by the coordinator) or they can come up with a subject of their own choice and contact a lecturer if he/she is willing to tutor the student. Usually students do a tutorial in a field and specialism in the first year of the RMA, related to the topic of their RMA-thesis in the second year.;https://studiegids.vu.nl/en/courses/2024-2025/L_AAMPHUG002;;;;;;;;;
Global Innovation and Entrepreneurship;E_BA_GIE;6 EC;P2;400;English;School of Business and Economics;dr. M. Mulhuijzen;dr. M. Mulhuijzen;Secondary subject for non-VU students;Students must have completed at least 90 EC of their bachelor programmes.;Given the dynamic landscapes that firms need to navigate, management scholars must equip themselves with the skills and knowledge of how to manage organizations such that their value propositions remain relevant in tomorrow’s markets.;https://studiegids.vu.nl/en/courses/2024-2025/E_BA_GIE;;;;;;;;;
Globalisation and Localisation;L_AABACIW206;6 EC;P5;200;English;Faculty of Humanities;dr. M.J. van den Haak;dr. M.J. van den Haak;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;With the world at their digital fingertips, more and more companies decide to go global. To successfully expand their business across borders, they need to define a clear communicative strategy for their new, international target audience. One of the main decisions for companies to make is whether to standardise or localise their communication.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABACIW206;;;;;;;;;
Globalisation and Culture 2;W_MA_CBGC2;6 EC;P1+2;400;Dutch;Faculty of Humanities;dr. A.M. Verbrugge;dr. A.M. Verbrugge;Extra curricular course for VU students, Secondary subject for non-VU students;NA;Deze collegereeks is opgebouwd uit verschillende onderdelen. Het college opent met een methodische reflectie op het beschrijven en evalueren van grote historische processen. Daarin wordt tevens de noodzaak zichtbaar om te komen tot een integrale en normatieve analyse van verschillende levensgebieden (familie, werk, consumptie, amusement, zingeving enzovoorts) in hun onderlinge samenhang. Vervolgens wordt de aard van deze samenhang uitgewerkt aan de hand van een paar grote denkers uit de geschiedenis van de filosofie (Aristoteles/ Spengler/ Adorno). Daarbij zal stapsgewijs de cultuurfilosofische problematiek worden geïntroduceerd rond de planetaire ontvouwing van de moderne techniek,;https://studiegids.vu.nl/en/courses/2024-2025/W_MA_CBGC2;;;;;;;;;
Globalization, Growth and Development;E_EC_GGD;6 EC;P4;400;English;School of Business and Economics;prof. dr. P.F. Lanjouw;prof. dr. P.F. Lanjouw;Secondary subject for non-VU students, Part of an Exchange Programme;NA;Globalization poses both challenges and offers opportunities to rich, emerging and poor countries. The course focuses on a number of themes that have been central in the academic and public discussion of recent trends in the world economy. Among them are:;https://studiegids.vu.nl/en/courses/2024-2025/E_EC_GGD;;;;;;;;;
Global Marketing Innovation;E_IBA2_GMI;6 EC;P5;200;English;School of Business and Economics;dr. Z.M. Seraj-Aksit;dr. Z.M. Seraj-Aksit;Secondary subject for non-VU students, Part of an Exchange Programme;NA;The course is one of the essential pieces of the semester on the;https://studiegids.vu.nl/en/courses/2024-2025/E_IBA2_GMI;;;;;;;;;
Global Migration Governance;R_REMI;6 EC;P1;200;English;Faculty of Law;dr. K.J. Swider;dr. K.J. Swider;;NA;The course “Global Migration Governance” is the first of two courses on the topic of migration. It introduces students to the theme by adopting an international perspective.;https://studiegids.vu.nl/en/courses/2024-2025/R_REMI;;;;;;;;;
Global Organizational Change;E_BA_GOC;6 EC;P3;400;English;School of Business and Economics;dr. S. Khanagha;dr. S. Khanagha;Secondary subject for non-VU students;NA;This course is structured around the management of global organizational change, with a strong emphasis on practical, hands-on learning experiences. A central component of the course involves a group project where students collaborate to address real-world challenges in managing organizational change on a global scale. Through activities such as case studies, students will develop strategies for optimizing global structures, improving processes, and adapting to emerging trends.;https://studiegids.vu.nl/en/courses/2024-2025/E_BA_GOC;;;;;;;;;
Global Political Economy;S_GPE;6 EC;P2;300;English;Faculty of Social Sciences;prof. dr. E.B. van Apeldoorn;prof. dr. E.B. van Apeldoorn;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;This course offers students an introduction to the subject of International Political Economy (IPE). Throughout, the course will be guided by the question to which extent, and how, the current process of globalization is changing the relationship between states and markets, between public regulation and the private economy, between state and capital. Traditionally IPE studies the relationship between ‘the economic’ and ‘political’ within the interaction of – patterns of co- operation and conflict between – national states. If anything, the global financial and economic crisis of 2008 and beyond has made clear that this state-centric perspective is no longer adequate.;https://studiegids.vu.nl/en/courses/2024-2025/S_GPE;;;;;;;;;
Global Political Economy;W_JSM_214;6 EC;P5;200;English;Faculty of Humanities;prof. dr. E.B. van Apeldoorn;prof. dr. E.B. van Apeldoorn;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/W_JSM_214;;;;;;;;;
Global Religion;S_GR;6 EC;P5;300;English;Faculty of Social Sciences;dr. P.G.A. Versteeg;dr. P.G.A. Versteeg;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;The global and the local are the context and canvas for our understanding;https://studiegids.vu.nl/en/courses/2024-2025/S_GR;;;;;;;;;
Global Supply Chain Management;E_IBA1_GSCM;6 EC;P4;100;English;School of Business and Economics;dr. Y. Ghiami;dr. Y. Ghiami;Secondary subject for non-VU students, Part of an Exchange Programme;NA;Global Supply Chain Management (GSCM) is an exciting and focused course for preparing students in implementing, coordinating and managing Supply Chains in global contexts. It will be valuable for students who would like to pursue a career in consulting or take a position in GSCM. Its setup comprises issues relating to the development of supplier relationships, operations improvement, procurement strategies, inventory control, logistics operations, transportation networks as well as contemporary issues affecting these areas. Specifically, the course will:;https://studiegids.vu.nl/en/courses/2024-2025/E_IBA1_GSCM;;;;;;;;;
Global Sustainability;E_IBA1_GSUS;6 EC;P3;100;English;School of Business and Economics;dr. R. Heijungs;dr. R. Heijungs;Secondary subject for non-VU students;NA;This course addresses the interface between environmental challenges and business solutions to provide an overview of the basic concepts of sustainability, sustainable business, and governance. It introduces students to the background and key issues of sustainability and suggests ways in which these concepts can be applied in business practice. Despite its business perspective, the course is interdisciplinary in its nature and draws on knowledge from socio-economic, political, and environmental studies, thereby providing a practical and critical understanding of sustainability in the changing paradigm of global;https://studiegids.vu.nl/en/courses/2024-2025/E_IBA1_GSUS;;;;;;;;;
Global Sustainability Analysis;AB_1289;6 EC;P5;300;English;Faculty of Science;dr. ir. J. van Vliet;dr. ir. J. van Vliet;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;In this course we expect a basic understanding of environmental challenges and economic processes related to the SDGs, covering, for example, climate change, economics, and land use and land cover change. Addition understanding of ethical and normative aspects is desirable. For students in the Bachelor Earth, Economics and Sustanability, this would relate to the following courses:;The United Nations Agenda 2030's SDGs constitute an ambitious roadmap of 17 goals and 169 targets aimed at reducing global inequities, ending unsustainable consumption patterns, facilitating sustained and inclusive economic growth, social development, and ensuring a sustainable future for all humanity. The SDGs mark an important shift in the way nature and human relations are understood and addressed. For example, the SDGs promote the idea of coupled human-nature systems in which poverty reduction and health are seen as intrinsically intertwined, and their transformative potential can materialize if the relation between poverty and environmental degradation is made explicit.;https://studiegids.vu.nl/en/courses/2024-2025/AB_1289;;;;;;;;;
Good Governance (part-time);S_GBdt;6 EC;P3+4+5+6;500;Dutch;Faculty of Social Sciences;prof. dr. G. de Graaf;prof. dr. G. de Graaf;;NA;To many authors, both from a philosophical and social scientific perspective, characterize the late modern and postmodern times by the visibility of conflicting – and perhaps irreconcilable – moral opinions, virtues, and values.;https://studiegids.vu.nl/en/courses/2024-2025/S_GBdt;;;;;;;;;
Law of Commercial Contracts and Property;R_GoedCon9;9 EC;P1+2;500;Dutch;Faculty of Law;prof. dr. J.L. Smeehuijzen;prof. dr. J.L. Smeehuijzen;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_GoedCon9;;;;;;;;;
Property Law;R_GoedR;6 EC;P2;300;Dutch;Faculty of Law;mr. dr. R. Mellenbergh;mr. dr. R. Mellenbergh;Secondary subject for non-VU students, Open course;NA;#NAME?;https://studiegids.vu.nl/en/courses/2024-2025/R_GoedR;;;;;;;;;
Bankruptcy law;R_GoedIns;6 EC;P5;400;Dutch;Faculty of Law;mr. dr. B. Breederveld;mr. dr. B. Breederveld;Secondary subject for non-VU students, Open course;NA;Faillissement: inleiding:;https://studiegids.vu.nl/en/courses/2024-2025/R_GoedIns;;;;;;;;;
Good Governance (full-time);S_GBvt;6 EC;P3;500;Dutch / English;Faculty of Social Sciences;prof. dr. G. de Graaf;prof. dr. G. de Graaf;;NA;To many authors, both from a philosophical and social scientific perspective, characterize the late modern and postmodern times by the visibility of conflicting – and perhaps irreconcilable – moral opinions, virtues, and values.;https://studiegids.vu.nl/en/courses/2024-2025/S_GBvt;;;;;;;;;
Gothic Spaces;L_ELMALTK004;6 EC;P5;400;English;Faculty of Humanities;dr. A.S. Raghunath;dr. E.J. van Leeuwen;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;MA/RMA students of literature. This module is part of the Master’s track English Literature in a Visual Culture. It is not suitable for students who do not have a background in Literary studies either at BA or MA level.;The course will examine a range of texts from a variety of cultural domains, both literary and visual, to explore the connections between the Gothic and space. Our programme will be organised chronologically from the 18th Century to the present to highlight the development of Gothic from a popular form of literature that was at the outset seen as 'low-brow' and unimportant to (arguably) one of the most widespread cultural genres of literature in the 21st Century.;https://studiegids.vu.nl/en/courses/2024-2025/L_ELMALTK004;;;;;;;;;
Governance, Regulation and Compliance;E_ACC_GRC;6 EC;P4;400;English;School of Business and Economics;mr. J.E. Brink-van der Meer;mr. J.E. Brink-van der Meer;Secondary subject for non-VU students;NA;Governance and regulation;https://studiegids.vu.nl/en/courses/2024-2025/E_ACC_GRC;;;;;;;;;
Governance, Regulation and Compliance PT;E_PTACC_GRC;6 EC;P4;400;English;School of Business and Economics;mr. J.E. Brink-van der Meer;mr. J.E. Brink-van der Meer;Secondary subject for non-VU students;NA;Governance and regulation;https://studiegids.vu.nl/en/courses/2024-2025/E_PTACC_GRC;;;;;;;;;
Governance and Algorithms in Care and Welfare;S_GACW;6 EC;P4;500;English;Faculty of Social Sciences;dr. A.L. Cremers;dr. A.L. Cremers;;NA;The course identifies conditions that are crucial to resilient organizing of care and welfare services to safeguard the wellbeing of individuals and communities, with a specific focus on the role and governance of algorithms. Such conditions include factors across multiple analytic levels: macro-societal, meso-organizational, and micro-individual. The course synthesizes different perspectives: information sciences, sociology, social psychology and organization sciences and links them with concepts from the other themes in Period 4 of the program. The articles we discuss and analyze in the class draw on a variety of methods: conceptual, qualitative, quantitative, computational. The course also reflects on the multi-level nature of the care networks, in which changes at the system level (government policies, reforms, disruptive digital technology, population aging) define new types of organizing, including between publicly and privately provided care, mediate social decision making, the emergence of new professional-role identities and carer-patient relationships at the micro level.;https://studiegids.vu.nl/en/courses/2024-2025/S_GACW;;;;;;;;;
Governance and Regulation of Emerging Technologies;R_GRET;6 EC;P1;200;English;Faculty of Law;P.B. Cardozo Solano LLM;P.B. Cardozo Solano LLM;Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;This introductory course of the Minor Technology, Law and Ethics offers an introduction into and an overview of the ways technology can or should be regulated. Important general concepts to be discussed are the economy (market powers), the law (regulation and case law), social;https://studiegids.vu.nl/en/courses/2024-2025/R_GRET;;;;;;;;;
Governance for Global Health;AM_1177;6 EC;P2;400;English;Faculty of Science;dr. A.M.C. Loeber;dr. A.M.C. Loeber;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;The persistence of health issues and health-related social problems calls for due consideration of the ways in which health care is governed. How are health issues being dealt with in various countries and regions, who are co-determining the dynamics in this field in the public and private domain, with which types of institutional arrangements and resources? In this course, we look into answers to these and related questions, discussing the governance of public health issues with particular attention to national / regional differences, and to the practice of health policy making.;https://studiegids.vu.nl/en/courses/2024-2025/AM_1177;;;;;;;;;
Governance of Ecosystem Services;AM_468025;6 EC;P3;400;English;Faculty of Science;dr. M. Schaafsma;dr. M. Schaafsma;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;Current governance systems of ecosystem services and biodiversity have evolved through policies developed at local (e.g. community based forest management), national (e.g. protection of wetlands), supranational (e.g. EU legislation such as Natura2000) and global levels (e.g. Convention on Biological Diversity). Governing biodiversity and ecosystem services is complicated because of a number of factors, such as their public good characteristics, different value systems, the often unclear distribution of user and property rights, the trade-offs between resource use and other societal goals, distributional outcomes, lack of coordination between various actors, and high transaction costs of effective enforcement and control. Also, scientific uncertainty surrounding the relationship between biodiversity protection, ecosystems and ecosystem services as well as the complexity of how socio-ecological systems function and change, including the presence of thresholds, play a role. Yet, because of the crucial nature of ecosystem services and biodiversity in human survival, ‘good’ governance of ecosystems and biodiversity is highly important.;https://studiegids.vu.nl/en/courses/2024-2025/AM_468025;;;;;;;;;
Governance of Global Sustainability;AB_1229;6 EC;P2;300;English;Faculty of Science;dr. J. Dell'Angelo;dr. J. Dell'Angelo;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/AB_1229;;;;;;;;;
Governance Practicum;S_GPBO;6 EC;P5+6;300;Dutch;Faculty of Social Sciences;dr. H.L. Paanakker;dr. H.L. Paanakker;;NA;Beleid heeft vaak niet de uitwerking die beleidsmakers voor ogen hebben. Er kunnen onbedoelde negatieve en positieve uitkomsten zijn en soms heeft beleid helemaal geen effect. Daarnaast is het resultaat van beleid over het algemeen tijdelijk en kunnen beoogde effecten op den duur omslaan in tegengestelde effecten en andersom.;https://studiegids.vu.nl/en/courses/2024-2025/S_GPBO;;;;;;;;;
Graduation Project;E_PTACC_GP;18 EC;Ac. Year (September);400;English;School of Business and Economics;dr. P.C.M. Claes;dr. P.C.M. Claes;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/E_PTACC_GP;;;;;;;;;
Graduation Project;E_ACC_GP18;18 EC;Ac. Year (September);400;English;School of Business and Economics;dr. P.C.M. Claes;dr. P.C.M. Claes;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/E_ACC_GP18;;;;;;;;;
Grand Challenges for Sustainability;E_MFS_GCS;6 EC;P1;300;English;School of Business and Economics;dr. ir. J.H. Ansink;dr. ir. J.H. Ansink;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;Sustainable development is the central challenge of our time. Today, the Earth is inhabited by more than 8 billion people. This is 10 times more than at the start of the Industrial Revolution in the 18th century. Every year, these people produce more than 100 trillion US dollars of output or 200 times more than at the start of the Industrial Revolution. Both population and output are projected to keep growing in the 21st century. Although global economic development has brought widespread prosperity, more than 700 million people still live in extreme poverty, and human activities may plunge the world into a gigantic environmental crisis caused by climate change and biodiversity loss. We live in the Anthropocene where human activity has become a dominant influence on the Earth’s climate and natural environment. To eradicate poverty and prevent environmental catastrophes, a transition needs to be made from the business-as-usual path to the sustainable development path. Making this transition requires good governance by governments, citizens, and businesses.;https://studiegids.vu.nl/en/courses/2024-2025/E_MFS_GCS;;;;;;;;;
Grant Writing and Research Ethics in Global Health;AM_1303;6 EC;P2;600;English;Faculty of Science;dr. F.A. Demeijer MSc;dr. F.A. Demeijer MSc;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;This course builds on the students’ previous internship experiences and their future plans for the second internship.;Writing research or practice-based proposals for funding is a new reality of not only Global Health, but any health-related discipline. Writing a grant proposal might seem to be very similar to writing an extended research proposal for your internships, but in fact it is very different in many respects. There are a lot of peculiarities in what it takes to write a grant proposal that is eligible and effective, that will be touched upon in this course.;https://studiegids.vu.nl/en/courses/2024-2025/AM_1303;;;;;;;;;
Grant Writing and Science communication;P_MGWSCCOM;6 EC;P3;500;English;Faculty of Behavioural and Movement Sc.;E.Q.J. de Geus MSc;prof. dr. J.C.N. de Geus;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/P_MGWSCCOM;;;;;;;;;
Graphic Design: Histories & Theories;L_ZABAMKD207;6 EC;P1;200;English;Faculty of Humanities;dr. J.M. Tynan;dr. J.M. Tynan;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_ZABAMKD207;;;;;;;;;
Great Minds I;W_BA_MND1;6 EC;P1;200;English;Faculty of Humanities;dr. L.W. Lee;prof. dr. M. Martijn;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;This course largely focuses on Western philosophy from 6th century BCE to 15th century CE. It introduces you to Ancient and Medieval philosophy, by studying the theories of a number of well-known thinkers: Plato, Aristotle, Augustine, and Thomas Aquinas, while also attending to the theories of those who are less well-known, such as Mengzi [Mencius], Laozi, Ibn Rushd [Averroes], and Christine de Pizan. We will focus on the relation between world, knowledge and goodness (i.e., metaphysics, epistemology, and ethics).;https://studiegids.vu.nl/en/courses/2024-2025/W_BA_MND1;;;;;;;;;
Great Minds II;W_BA_MND2;6 EC;P2+3;300;English;Faculty of Humanities;dr. C.H. Krijnen;dr. C.H. Krijnen;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;In this course the most important thinkers from the philosophical;https://studiegids.vu.nl/en/courses/2024-2025/W_BA_MND2;;;;;;;;;
Greece. Cradle of Civilization?;L_AABAALG074;6 EC;P4;300;English;Faculty of Humanities;dr. J. Hilditch;dr. J. Hilditch;Extra curricular course for VU students;NA;This is an UvA course. Please follow the link for the course description: Vak | UvA Studiegids 2024 - 2025;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAALG074;;;;;;;;;
Greek I + New Testament;G_BATRSAL003;6 EC;P1;200;English;Faculty of Religion and Theology;dr. S. Castelli;dr. S. Castelli;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;In this course, students lay an important foundation for the independent study of the original language of the New Testament and of Early Christian, Jewish-Greek, and Greco-Roman sources that will be studied later in the curriculum. Students learn Koinē Greek through attendance of the tutorials, though discussing and correcting assignments together in the class, and through self-study. Students will acquire a basic knowledge of phonology, morphology, syntax, and semantics that will enable them to independently read, write, understand, analyse, and translate simple sentences in Koinē Greek.;https://studiegids.vu.nl/en/courses/2024-2025/G_BATRSAL003;;;;;;;;;
Greek II + New Testament;G_BATRSAL025;6 EC;P2;200;English;Faculty of Religion and Theology;dr. S. Castelli;dr. S. Castelli;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;Greek I (G_BATRSAL003) or a knowledge of ancient Greek comparable to Greek I. Students who are not sure about their level are invited to contact the teacher at s.castelli2@vu.nl;Building on the Greek I module, this course offers students a more extensive basis for the independent study of the language of the New Testament and of Early Christian, Jewish-Greek, and Greco-Roman sources that will be studied later in the curriculum. Students learn Koinē Greek through attendance of the tutorials, though discussing and correcting assignments together in the class, and through self-study. A more advanced knowledge of morphology, semantics, and especially syntax will be acquired in this course, in order to be able to independently understand, analyse, and translate texts with a higher degree of difficulty. Moreover, students will learn to analyse given translations on the basis of the Greek text of the New Testament and to build their own well-founded judgment on them.;https://studiegids.vu.nl/en/courses/2024-2025/G_BATRSAL025;;;;;;;;;
Greek III;G_BATRSAL077;3 EC;P3;200;English;Faculty of Religion and Theology;dr. S. Castelli;dr. S. Castelli;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;Building on the Greek II module, this module offers students a far-reaching basis for the independent study of the language of the Greek New Testament and of Early Christian, Jewish-Greek, and Greco-Roman sources that will be studied later in the curriculum. Students will get to master Koinē Greek by attending the lectures/tutorials, by preparing the texts to be discussed in the class, and by discussing the texts together. In this module students will consolidate the knowledge of morphology and syntax of Koinē Greek acquired in modules I-II, work further on their Greek vocabulary, and critically approach longer texts. At least one text in Koinē Greek outside the New Testament corpus will be likewise discussed. This module will be offered in parallel with the course “Introduction to the New Testament”: the texts prepared through self-study and discussed in the class will be relevant also for the course “Introduction to the New Testament” offered by Prof. Dr. Bert Jan Lietaert Peerbolte. Finally, students will learn to critically use some key academic resources for approaching New Testament and Koinē Greek texts, and will integrate the three modules of Greek (I-II-III) into a presentation assignment about a specific New Testament text.;https://studiegids.vu.nl/en/courses/2024-2025/G_BATRSAL077;;;;;;;;;
Green Lab;X_418158;6 EC;P1;500;English;Faculty of Science;dr. I. Malavolta;dr. I. Malavolta;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;Students will work in teams to perform experiments on software energy consumption in a controlled environment. Students will have to carry out all the phases of empirical experimentation, from experiment design to execution, data analysis, and reporting. Students will be provided with examples of experiments coming from state-of-the-art literature, but they will have to choose by themselves the experimental subjects and hypotheses to test. During the lab sessions, students will be assisted for technical operation of the lab equipment as regards measurement and data gathering. Students will also receive the required training for data analysis and visualization using specialized;https://studiegids.vu.nl/en/courses/2024-2025/X_418158;;;;;;;;;
Greek 1: Language Acquisition and Reading;L_AABAGLT112;6 EC;P1;100;Dutch;Faculty of Humanities;dr. B.M.R. Verhelst;dr. B.M.R. Verhelst;Extra curricular course for VU students;NA;De cursus bestaat uit grammaticacolleges (nadruk op morfologie) en lectuurcolleges (met aandacht voor syntaxis). De groep studenten (GLTC) zonder eindexamen sluit voor een deel van het onderwijs aan bij de colleges van Basiscursus Grieks I en is vrijgesteld van de lectuurcolleges.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAGLT112;;;;;;;;;
